state_fips,license_type_code,license_type_name,license_category,permits_on_premise,permits_off_premise,permits_beer,permits_wine,permits_spirits,retail_channel,abv_limit,quota_limited,quota_notes,transferable,annual_fee_range,issuing_authority,statutory_reference,notes,research_status,research_source,last_verified_date
02,AK_PUB,Pub License,on_premise,True,False,True,True,False,bar_restaurant,,False,,False,,Alaska AMCO/ABC Board,AS 04.11,Beer and wine on-premises; recreational/entertainment focus,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
04,AZ_S06,Series 6 - Bar,on_premise,True,True,True,True,True,bar_restaurant,,True,Quota based on county population; lottery or secondary market,True,,Arizona DLLC,ARS 4-101 et seq.,On-sale all liquor; off-sale limited to 30% of on-sale revenue,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S07,Series 7 - Beer and Wine Bar,on_premise,True,True,True,True,False,bar_restaurant,,True,Quota based on county population; lottery or secondary market,True,,Arizona DLLC,ARS 4-101 et seq.,On-sale beer and wine only; quota license,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S09,Series 9 - Liquor Store,off_premise,False,True,True,True,True,liquor_store,,True,Quota based on county population; lottery or secondary market,True,,Arizona DLLC,ARS 4-101 et seq.,Off-sale all liquor in original unbroken package only,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S10,Series 10 - Beer and Wine Store,off_premise,False,True,True,True,False,convenience,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,Nontransferable; off-sale beer and wine only,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S11,Series 11 - Hotel/Motel,on_premise,True,False,True,True,True,hotel,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,On-sale all liquor; must have restaurant on premises; nontransferable,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S12,Series 12 - Restaurant,on_premise,True,False,True,True,True,bar_restaurant,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,On-sale all liquor; food sales must be 40%+ of gross revenue; nontransferable,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S01,Series 1 - In-State Producer,manufacturer,True,False,True,True,True,any,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,Limited on-site sales and sampling at production facility,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S03,Series 3 - Microbrewery,craft_brewery,True,True,True,False,False,any,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,On-site sales and sampling; taproom sales,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S04,Series 4 - Wholesaler,wholesaler,False,False,True,True,True,any,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,Purchase from producers; sell to AZ licensed retailers and wholesalers,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S13,Series 13 - Farm Winery,farm_winery,True,True,False,True,False,any,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,AZ-grown products; direct sales to consumers and retailers; remote tasting rooms,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S15,Series 15 - Special Event,special_event,True,False,True,True,True,any,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,Temporary license for specific event; on-sale consumption only,draft,https://azliquor.gov/license_types.cfm,2026-03-24
04,AZ_S18,Series 18 - Craft Distillery,manufacturer,True,True,False,False,True,any,,False,,False,,Arizona DLLC,ARS 4-101 et seq.,Production within gallonage limits; sales to wholesalers and direct to consumers,draft,https://azliquor.gov/license_types.cfm,2026-03-24
05,AR_RLL,Retail Liquor Store Permit,off_premise,False,True,True,True,True,liquor_store,,False,,True,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Off-premise sales; not within 1000 ft of school/church,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_MDP,Mixed Drink Permit,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Arkansas ABC Division,Ark. Code 3-1 et seq.,On-premise sale of spirits wine and beer in wet areas,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_PVTCLUB,Private Club Permit,on_premise,True,False,True,True,True,club,,False,,False,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Allows alcohol service in dry counties; beer wine and spirits,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_RBWP,Restaurant Beer and Wine Permit,on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Combined restaurant beer and wine; on-premises only; includes hard cider,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_SMREST,Small Restaurant Permit,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Limited spirits up to 560 liters/year; smaller establishments,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_RBOP,Retail Beer Off-Premises Permit,off_premise,False,True,True,False,False,convenience,,False,,True,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Beer only for off-premises consumption; grocery and convenience stores,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_NATIVEBEER,Retail Native Beer Permit,craft_brewery,True,True,True,False,False,any,,False,,False,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Microbreweries/small brewers direct to consumer sales,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_SFW,Small Farm Winery Permit,farm_winery,True,True,False,True,False,any,,False,,False,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Small farm winery retail sales,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_WHSL,Wholesale Permit,wholesaler,False,False,True,True,True,any,,False,,False,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Wholesale distribution of alcoholic beverages,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
05,AR_MFG,Manufacturer Permit,manufacturer,False,False,True,True,True,any,,False,,False,,Arkansas ABC Division,Ark. Code 3-1 et seq.,Production of beer wine or spirits; requires federal TTB permit,draft,https://www.dfa.arkansas.gov/abc/permits,2026-03-24
06,CA_T20,Type 20 - Off-Sale Beer and Wine,off_premise,False,True,True,True,False,grocery,,False,,True,,California ABC,Cal. Bus. & Prof. Code 23394,Beer and wine off-sale; commonly used by grocery and convenience stores,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T21,Type 21 - Off-Sale General,off_premise,False,True,True,True,True,general_retail,,True,County-based quota system,True,,California ABC,Cal. Bus. & Prof. Code 23394,Full off-sale including spirits; used by liquor stores and large grocery stores,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T40,Type 40 - On-Sale Beer,on_premise,True,True,True,False,False,bar_restaurant,,False,,True,,California ABC,Cal. Bus. & Prof. Code 23394,Bar/tavern; beer only; no wine or spirits on premises,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T41,Type 41 - On-Sale Beer and Wine - Eating Place,on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,California ABC,Cal. Bus. & Prof. Code 23394,Restaurants serving beer and wine; food sales requirement,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T42,Type 42 - On-Sale Beer and Wine - Public Premises,on_premise,True,True,True,True,False,bar_restaurant,,False,,True,,California ABC,Cal. Bus. & Prof. Code 23394,Bar/tavern; beer and wine; no food requirement,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T47,Type 47 - On-Sale General - Eating Place,on_premise,True,False,True,True,True,bar_restaurant,,True,County-based quota system,True,,California ABC,Cal. Bus. & Prof. Code 23394,Full-service restaurant; all beverages; food revenue percentage required,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T48,Type 48 - On-Sale General - Public Premises,on_premise,True,False,True,True,True,bar_restaurant,,True,County-based quota system,True,,California ABC,Cal. Bus. & Prof. Code 23394,Bars/nightclubs; all beverages; no food requirement; minors not permitted,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T01,Type 01 - Beer Manufacturer,manufacturer,False,False,True,False,False,any,,False,,False,,California ABC,Cal. Bus. & Prof. Code 23394,Brewery manufacturing license,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T02,Type 02 - Winegrower,farm_winery,True,True,False,True,False,any,,False,,False,,California ABC,Cal. Bus. & Prof. Code 23394,Wine production; on-site tasting and sales,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T04,Type 04 - Distilled Spirits Manufacturer,manufacturer,False,False,False,False,True,any,,False,,False,,California ABC,Cal. Bus. & Prof. Code 23394,Distillery; production of spirits,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T17,Type 17 - Beer and Wine Wholesaler,wholesaler,False,False,True,True,False,any,,False,,False,,California ABC,Cal. Bus. & Prof. Code 23394,Wholesale of beer and wine to retailers,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
06,CA_T23,Type 23 - Small Beer Manufacturer,craft_brewery,True,True,True,False,False,any,,False,,False,,California ABC,Cal. Bus. & Prof. Code 23394,Craft brewery; up to 60000 bbl/yr; on-site taproom sales,draft,https://www.abc.ca.gov/licensing/license-types/,2026-03-24
08,CO_RLS,Retail Liquor Store License,off_premise,False,True,True,True,True,liquor_store,,False,,True,,Colorado Liquor Enforcement Division,CRS 44-3-409,Sale of malt vinous and spirituous liquors in sealed containers; off-premises only,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_BW,Beer and Wine License,on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,Colorado Liquor Enforcement Division,CRS 44-3-411,On-premises consumption of malt and vinous liquors only,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_TAV,Tavern License,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Colorado Liquor Enforcement Division,CRS 44-3-414,On-premises sale of all liquor; light snacks required,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_HR,Hotel and Restaurant License,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Colorado Liquor Enforcement Division,CRS 44-3-413,On-premises sale of all liquor with food service,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_BREW,Brew Pub License,craft_brewery,True,True,True,False,False,bar_restaurant,,False,,False,,Colorado Liquor Enforcement Division,CRS 44-3-417,Manufacture and on-premises sale of beer; limited off-premises sales,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_FMB,Fermented Malt Beverage Off-Premises License,off_premise,False,True,True,False,False,grocery,,False,,True,,Colorado Liquor Enforcement Division,CRS 44-4,Beer off-premises; grocery and convenience stores,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_LDS,Liquor-Licensed Drug Store License,off_premise,False,True,True,True,True,pharmacy,,False,,True,,Colorado Liquor Enforcement Division,CRS 44-3-410,Drugstores; sealed containers; off-premises consumption,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_MFG,Manufacturer License,manufacturer,False,False,True,True,True,any,,False,,False,,Colorado Liquor Enforcement Division,CRS 44-3-402,Brewery winery or distillery production license,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
08,CO_WHSL,Wholesaler License,wholesaler,False,False,True,True,True,any,,False,,False,,Colorado Liquor Enforcement Division,CRS 44-3-407,Distribution of alcoholic beverages to retailers,draft,https://sbg.colorado.gov/liquor-enforcement/license-types,2026-03-24
09,CT_LIR,Restaurant Liquor Permit (LIR),on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Connecticut DCP Liquor Control Division,CGS 30-22,Full-service restaurant; hot meals required; adequate kitchen and dining room,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_RWB,Restaurant Wine and Beer Permit,on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,Connecticut DCP Liquor Control Division,CGS 30-22a,Restaurant serving beer and wine only,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_CAF,Cafe Permit (CAF),on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Connecticut DCP Liquor Control Division,CGS 30-22b,Bar/lounge; all beverages; no food requirement,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_LIP,Package Store Permit (LIP),off_premise,False,True,True,True,True,liquor_store,,False,,True,,Connecticut DCP Liquor Control Division,CGS 30-20,Retail liquor store; beer wine and spirits; off-premises,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_GBR,Grocery Store Beer Permit (GBR),off_premise,False,True,True,False,False,grocery,,False,,True,,Connecticut DCP Liquor Control Division,CGS 30-20,Grocery stores; beer only; off-premises consumption,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_CCF,Connecticut Craft Cafe Permit,on_premise,True,True,True,True,True,bar_restaurant,,False,,False,,Connecticut DCP Liquor Control Division,CGS 30-22,CT-produced liquor on-premises; growler sales for off-premises,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_MBR,Manufacturer Beer Permit (MBR),manufacturer,True,True,True,False,False,any,,False,,False,,Connecticut DCP Liquor Control Division,CGS 30-16,Brewery production and limited on-site retail,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_MWN,Manufacturer Wine Permit (MWN),farm_winery,True,True,False,True,False,any,,False,,False,,Connecticut DCP Liquor Control Division,CGS 30-16,Winery production and limited on-site retail,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_LMP,Manufacturer Liquor Permit (LMP),manufacturer,False,False,False,False,True,any,,False,,False,,Connecticut DCP Liquor Control Division,CGS 30-16,Distillery; spirits production,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
09,CT_WHSL,Wholesaler Permit,wholesaler,False,False,True,True,True,any,,False,,False,,Connecticut DCP Liquor Control Division,CGS 30-17,Wholesale distribution to retailers,draft,https://portal.ct.gov/dcp/license-services-division/liquor-control-division/liquor-permit-types,2026-03-24
10,DE_REST,Restaurant License,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Delaware OABCC,Del. Code Title 4 Ch. 5,On-premises consumption; food service primary,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_TAP,Taproom License,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Delaware OABCC,Del. Code Title 4 Ch. 5,Bar/lounge; alcohol primary; food secondary,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_PKG,Package Store License,off_premise,False,True,True,True,True,liquor_store,,False,,True,,Delaware OABCC,Del. Code Title 4 Ch. 5,Retail off-sale; sealed containers only,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_HOTEL,Hotel License,on_premise,True,False,True,True,True,hotel,,False,,True,,Delaware OABCC,Del. Code Title 4 Ch. 5,Hotel establishments; on-premises consumption,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_CLUB,Club License,on_premise,True,False,True,True,True,club,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,Private clubs and fraternal organizations,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_BREWPUB,Brewpub License,craft_brewery,True,True,True,False,False,bar_restaurant,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,On-site brewing and retail sales,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_MICRO,Microbrewery License,craft_brewery,True,True,True,False,False,any,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,Beer production; on-site and distribution,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_CRAFT,Craft Distillery License,manufacturer,True,True,False,False,True,any,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,Under 100000 proof gallons/yr; on-site retail and wholesale,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_FW,Farm Winery License,farm_winery,True,True,False,True,False,any,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,Wine production from agricultural products; on-site and off-site sales,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_MFG,Manufacturing License,manufacturer,False,False,True,True,True,any,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,General manufacturing of alcoholic beverages,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
10,DE_WHSL,Wholesaler License,wholesaler,False,False,True,True,True,any,,False,,False,,Delaware OABCC,Del. Code Title 4 Ch. 5,Purchase from suppliers/manufacturers; sell to retailers,draft,https://revenue.delaware.gov/alcohol-tobacco-enforcement,2026-03-24
11,DC_ONPREM_CR,On-Premises Retailer Class C (Restaurant),on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,DC ABRA,DC Code Title 25,Restaurant; spirits beer and wine on-premises,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_ONPREM_DR,On-Premises Retailer Class D (Restaurant),on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,DC ABRA,DC Code Title 25,Restaurant; beer and wine only on-premises,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_ONPREM_CT,On-Premises Retailer Class C (Tavern),on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,DC ABRA,DC Code Title 25,Tavern; spirits beer and wine on-premises,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_ONPREM_DT,On-Premises Retailer Class D (Tavern),on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,DC ABRA,DC Code Title 25,Tavern; beer and wine only on-premises,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_OFFPREM_A,Off-Premises Retailer Class A,off_premise,False,True,True,True,True,liquor_store,,False,,True,,DC ABRA,DC Code Title 25,Package store; all alcoholic beverages; off-premises,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_OFFPREM_B,Off-Premises Retailer Class B,off_premise,False,True,True,True,False,liquor_store,,False,,True,,DC ABRA,DC Code Title 25,Package store; beer and wine only; off-premises,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_MFG_A,Manufacturer Class A,manufacturer,False,False,False,True,True,any,,False,,False,,DC ABRA,DC Code Title 25,Production of spirits and wine (wine includes cider),draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_MFG_B,Manufacturer Class B,manufacturer,False,False,True,False,False,any,,False,,False,,DC ABRA,DC Code Title 25,Production of beer,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_WHSL,Wholesaler License,wholesaler,False,False,True,True,True,any,,False,,False,,DC ABRA,DC Code Title 25,Sales to other DC ABC licensees for resale,draft,https://abca.dc.gov/page/license-categories,2026-03-24
11,DC_CATERER,Caterer License,on_premise,True,False,True,True,True,any,,False,,True,,DC ABRA,DC Code Title 25,Sales and service at catered events,draft,https://abca.dc.gov/page/license-categories,2026-03-24
12,FL_1COP,1COP - Beer On-Premises,on_premise,True,False,True,False,False,bar_restaurant,,False,,True,,Florida DBPR/DABT,Fla. Stat. 561-565,Beer consumption on premises; not quota limited,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_2COP,2COP - Beer and Wine On-Premises,on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,Florida DBPR/DABT,Fla. Stat. 561-565,Beer and wine consumption on premises; restaurants and eateries,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_4COP,4COP - Full Liquor On-Premises (Quota),on_premise,True,True,True,True,True,bar_restaurant,,True,County population-based quota; lottery or secondary market,True,,Florida DBPR/DABT,Fla. Stat. 561.20,All beverages on/off premises; most valuable FL license,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_4COPSFS,4COP-SFS - Special Food Service Restaurant,on_premise,True,False,True,True,True,bar_restaurant,,False,,False,,Florida DBPR/DABT,Fla. Stat. 561.20(2)(a)4,Restaurant; 51% food/non-alcohol revenue; 2500 sq ft; seat 150; not quota,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_3PS,3PS - Package Store,off_premise,False,True,True,True,True,liquor_store,,True,County population-based quota,True,,Florida DBPR/DABT,Fla. Stat. 561-565,Off-premises package sales; beer wine and liquor,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_VENDOR,Vendor License,off_premise,False,True,True,True,False,convenience,,False,,True,,Florida DBPR/DABT,Fla. Stat. 561-565,Beer and wine off-premises; convenience stores and grocery,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_MFG,Manufacturer License,manufacturer,False,False,True,True,True,any,,False,,False,,Florida DBPR/DABT,Fla. Stat. 561-565,Production of beer wine or spirits; $1000-$4000 fee,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_DIST,Distributor License,distributor,False,False,True,True,True,any,,False,,False,,Florida DBPR/DABT,Fla. Stat. 561-565,Wholesale distribution; importer/exporter; $500-$4000 fee,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
12,FL_CRAFT,Craft Distillery License,manufacturer,True,True,False,False,True,any,,False,,False,,Florida DBPR/DABT,Fla. Stat. 565.03,Small-scale distillery; on-site retail and tastings,draft,https://www.myfloridalicense.com/dbpr/abt/documents/License_Types.pdf,2026-03-24
13,GA_RETPKG,Retail Package License,off_premise,False,True,True,True,True,liquor_store,,False,,True,,Georgia DOR,OCGA Title 3,Retail sale of unopened beer wine or spirits; off-premises,draft,https://dor.georgia.gov/alcohol-tobacco/alcohol-license-types,2026-03-24
13,GA_RETBW,Retail Beer/Wine License,off_premise,False,True,True,True,False,convenience,,False,,True,,Georgia DOR,OCGA Title 3,Retail sale of unopened beer or wine only; grocery/convenience,draft,https://dor.georgia.gov/alcohol-tobacco/alcohol-license-types,2026-03-24
13,GA_COP,Consumption on Premises License,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Georgia DOR,OCGA Title 3,On-premises consumption including distilled spirits,draft,https://dor.georgia.gov/alcohol-tobacco/alcohol-license-types,2026-03-24
13,GA_COPBW,Consumption on Premises - Beer/Wine,on_premise,True,False,True,True,False,bar_restaurant,,False,,True,,Georgia DOR,OCGA Title 3,On-premises consumption; beer and wine only,draft,https://dor.georgia.gov/alcohol-tobacco/alcohol-license-types,2026-03-24
13,GA_BREWPUB,Brewpub License,craft_brewery,True,True,True,False,False,bar_restaurant,,False,,False,,Georgia DOR,OCGA Title 3,On-premises brewing and retail sales; food service,draft,https://dor.georgia.gov/alcohol-tobacco/alcohol-license-types,2026-03-24
13,GA_MFG,Manufacturer License,manufacturer,False,False,True,True,True,any,,False,,False,,Georgia DOR,OCGA Title 3,Breweries distilleries or wineries,draft,https://dor.georgia.gov/alcohol-tobacco/alcohol-license-types,2026-03-24
